stream,topic,sender-id,timestamp,keyword-?,message-word-count,afinn-sentiment,trust,surprise,joy,positive,negative,anticipation,anger,sadness,fear
data-science,preferred notebook,138243,1550374010,false,13,3,2,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550374071,false,324,11,36,1,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550375181,false,23,7,5,1,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550375241,true,44,4,4,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550375453,false,65,7,3,1,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138175,1550383391,false,29,4,4,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138262,1550403027,false,30,8,8,0,0,0,0,0,0,0,0
data-science,preferred notebook,139190,1550424862,true,115,9,28,1,0,0,0,0,0,0,0
data-science,preferred notebook,139190,1550426994,true,74,5,14,0,0,0,0,0,0,0,0
data-science,preferred notebook,139190,1550427083,false,15,0,1,0,0,0,0,0,0,0,0
data-science,preferred notebook,138175,1550429309,true,12,3,4,0,0,0,0,0,0,0,0
data-science,preferred notebook,139190,1550433060,false,66,1,6,0,0,0,0,0,0,0,0
data-science,preferred notebook,139190,1550433649,true,881,4,19,0,0,0,0,0,0,0,0
data-science,preferred notebook,139190,1550433867,false,53,3,17,0,0,0,0,0,0,0,0
data-science,preferred notebook,139190,1550435527,true,231,11,24,0,0,0,0,0,0,0,0
data-science,preferred notebook,139190,1550436945,true,352,26,44,3,0,0,0,0,0,0,0
data-science,Deep Learning - from scratch to GPU (dragan.rocks),138262,1550439008,true,59,-1,13,0,0,0,0,0,0,0,0
data-science,Deep Learning - from scratch to GPU (dragan.rocks),139190,1550439395,false,23,8,6,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550446059,false,20,3,1,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550446132,false,50,4,2,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550446155,false,18,2,4,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550446209,false,52,4,9,0,0,0,0,0,0,1,0
data-science,preferred notebook,138243,1550446293,false,34,4,6,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,200389,1550453878,false,281,11,34,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,138262,1550487104,false,67,9,18,1,0,0,0,0,0,0,0
data-science,Deep Learning - from scratch to GPU (dragan.rocks),138603,1550502725,false,4,0,1,0,0,0,0,0,0,0,0
data-science,preferred notebook,139190,1550502793,true,61,2,3,0,0,0,0,0,0,0,0
data-science,tech.ml.dataset,200665,1550516663,false,136,-1,34,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550560080,false,51,3,10,0,0,0,0,0,1,0,0
data-science,preferred notebook,138243,1550560109,false,12,0,4,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550560167,false,30,0,10,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550560223,false,23,4,6,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550560310,false,64,4,9,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550560479,false,14,0,2,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550560670,true,87,2,12,0,0,0,0,0,0,0,0
data-science,preferred notebook,138175,1550560907,false,102,3,25,0,0,0,0,0,0,0,0
data-science,preferred notebook,138243,1550561547,false,39,3,7,0,0,0,0,0,0,0,0
data-science,preferred notebook,139190,1550587753,true,39,2,6,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,200389,1550717832,false,10,0,0,0,0,0,0,0,0,0,0
data-science,Organize data science tools site?,200711,1550785806,false,76,-1,11,0,0,0,0,0,0,0,0
